Name,Usage2024,Usage2016,Trend,Category,Scope
JavaScript,62.3,55.4,Highly Trending,Lang,FE
HTML/CSS,53,54.4,Steady,Lang,FE
HTML,53,54.4,Steady,Lang,FE
CSS,53,54.4,Steady,Lang,FE
Python,51,24.9,Highly Trending,Lang,BE
SQL,47,49.1,Steady,Lang,BE
TypeScript,34,0.47,Highly Trending,Lang,FE
Java,33,36.3,Steady,Lang,BE
Bash/Shell,29,0.45,Steady,Lang,BE
C#,27,30.9,Steady,Lang,BE
C++,24,19.4,Steady,Lang,SYS
PHP,21,25.9,Declining,Lang,BE
C,20,15.5,Steady,Lang,SYS
Go,18,0.16,Highly Trending,Lang,BE
Kotlin,16,0.12,Highly Trending,Lang,ANDR
Rust,13,0.16,Highly Trending,Lang,SYS
Ruby,10,8.9,Declining,Lang,BE
Dart,8,0.13,Trending,Lang,CPM
Swift,7,2.6,Highly Trending,Lang,IOS
Objective-C,5,6.5,Strong Declining,Lang,IOS
Scala,4,0.16,Trending,Lang,BE
Perl,3,2,Declining,Lang,BE
Lua,2,0.32,Declining,Lang,SYS
Groovy,1,0.34,Declining,Lang,BE
F#,0.2,0.3,Declining,Lang,BE
Delphi,0.1,0.78,Strong Declining,Lang,BE
Object Pascal,0.1,0.78,Strong Declining,Lang,BE
Assembly,0.1,0.2,Steady,Lang,SYS
Crystal,0.1,0.1,Trending,Lang,BE
Elixir,0.1,0.14,Trending,Lang,BE
Erlang,0.1,0.13,Declining,Lang,BE
Node.js,40.8,35,Highly Trending,Framework,BE
React.js,39.5,10,Highly Trending,Framework,FE
jQuery,21.4,48,Declining,Framework,FE
Next.js,17.9,0,Highly Trending,Framework,FE
Express.js,17.8,12,Trending,Framework,BE
Angular 2,17.1,30,Steady,Framework,FE
ASP.NET Core,16.9,0,Trending,Framework,BE
Vue.js,15.4,3,Trending,Framework,FE
ASP.NET,12.9,28,Declining,Framework,BE
Flask,12.9,2,Trending,Framework,BE
Spring Boot,12.7,0,Steady,Framework,BE
Django,12,5,Steady,Framework,BE
WordPress,11.8,25,Declining,Framework,CMS
FastAPI,9.9,0,Highly Trending,Framework,BE
Laravel,7.9,3,Trending,Framework,BE
AngularJS,6.8,20,Declining,Framework,FE
Svelte,6.5,0,Highly Trending,Framework,FE
Nest.js,5.8,0,Highly Trending,Framework,BE
Blazor,4.9,0,Trending,Framework,BE
Ruby on Rails,4.7,5,Declining,Framework,BE
Nuxt.js,3.6,0,Trending,Framework,FE
Htmx,3.3,0,Trending,Framework,FE
Symfony,3.2,3,Steady,Framework,BE
Astro,3,0,Highly Trending,Framework,FE
Fastify,2.2,0,Highly Trending,Framework,BE
Deno,1.9,0,Highly Trending,Framework,BE
Phoenix,1.9,0,Steady,Framework,BE
Drupal,1.9,3,Declining,Framework,BE
Strapi,1.7,0,Highly Trending,Framework,BE
CodeIgniter,1.7,3,Declining,Framework,BE
Gatsby,1.6,0,Steady,Framework,FE
Remix,1.6,0,Highly Trending,Framework,FE
Solid.js,1.2,0,Highly Trending,Framework,FE
Yii 2,0.9,0,Declining,Framework,BE
Play Framework,0.8,0,Declining,Framework,BE
Elm,0.6,0,Declining,Framework,FE
Meteor,0.1,,Strong Declining,Framework,FE
Koa,0.1,,Steady,Framework,BE
Ember.js,0.1,,Declining,Framework,FE
Backbone.js,0.1,,Strong Declining,Framework,FE
Padrino,0.1,,Declining,Framework,BE
CakePHP,0.1,,Strong Declining,Framework,BE
Zend Framework,0.1,,Strong Declining,Framework,BE
Slim,0.1,,Declining,Framework,BE
Pyramid,0.1,,Declining,Framework,BE
Turbolinks,0.1,,Strong Declining,Framework,FE
Hanami,0.1,,Declining,Framework,BE
Grails,0.1,,Declining,Framework,BE
Hapi,1,,Steady,Framework,BE
Revel,0.1,,Declining,Framework,BE
PostgreSQL,49,11,Highly Trending,DB,BE
MySQL,45,30,Steady,DB,BE
SQLite,32,12,Trending,DB,BE
Microsoft SQL Server,28,20,Steady,DB,BE
MongoDB,21,21,Trending,DB,BE
Redis,18,16,Trending,DB,BE
MariaDB,15,6,Trending,DB,BE
Elasticsearch,12,5,Trending,DB,BE
Oracle,10,12,Steady,DB,BE
DynamoDB,9,3,Trending,DB,BE
Firebase Realtime Database,8,2,Highly Trending,DB,BE
Cloud Firestore,7,0,Highly Trending,DB,BE
BigQuery,7,1,Trending,DB,BE
Microsoft Access,5,8,Declining,DB,BE
Supabase,4,0,Highly Trending,DB,BE
H2,4,1,Steady,DB,BE
Cosmos DB,3,0,Trending,DB,BE
Snowflake,3,0,Highly Trending,DB,BE
InfluxDB,2,0.5,Trending,DB,BE
Cassandra,2,3,Steady,DB,BE
Databricks SQL,1.9,0,Highly Trending,DB,BE
Neo4j,2,1,Trending,DB,BE
IBM Db2,2,4,Declining,DB,BE
ClickHouse,1.4,0,Highly Trending,DB,BE
Solr,1.3,1,Declining,DB,BE
DuckDB,1.2,0,Highly Trending,DB,BE
Firebird,1.1,0.5,Declining,DB,BE
CouchDB,1,1,Steady,DB,BE
CockroachDB,0.9,0,Trending,DB,BE
Couchbase,1,2,Steady,DB,BE
Presto,0.7,0,Trending,DB,BE
Datomic,0.6,0,Declining,DB,BE
EventStoreDB,0.5,0,Trending,DB,BE
RavenDB,0.4,0.5,Declining,DB,BE
TiDB,0.3,0,Trending,DB,BE
Docker,53.9,2.6,Highly Trending,Tool,BE
